scheme_id,scheme_name,scheme_name_hindi,type,launch_year,benefit,benefit_hindi,eligibility,eligibility_hindi,description_english,description_hindi,documents_required,apply_link
45,Mukhyamantri Krishak Samridhi Yojana,मुख्यमंत्री कृषक समृद्धि योजना,State (Uttar Pradesh),2025,Affordable loans and enhanced storage infrastructure for farmers,किसानों के लिए सस्ती ऋण सुविधा और उन्नत भंडारण अवसंरचना,Small and marginal farmers in Uttar Pradesh,उत्तर प्रदेश के लघु और सीमांत किसान,This scheme aims to boost income and self-reliance among small and marginal farmers by providing affordable loans through NABARD and cooperative banks. It also focuses on enhancing storage infrastructure with plans to build 100 new warehouses.,यह योजना लघु और सीमांत किसानों की आय और आत्मनिर्भरता बढ़ाने के लिए NABARD और सहकारी बैंकों के माध्यम से सस्ती ऋण सुविधा प्रदान करती है। इसमें 100 नए गोदामों के निर्माण की योजना के साथ भंडारण अवसंरचना को भी मजबूत किया जाएगा।,Aadhaar Card|Land records|Bank account details,https://upagripardarshi.gov.in
46,Krishak Durghatna Kalyan Yojana,कृषक दुर्घटना कल्याण योजना,State (Uttar Pradesh),2020,Financial assistance in case of accidental death or disability,दुर्घटनावश मृत्यु या विकलांगता की स्थिति में वित्तीय सहायता,All registered farmers and their family members in Uttar Pradesh,उत्तर प्रदेश के सभी पंजीकृत किसान और उनके परिवार के सदस्य,Provides financial assistance to farmers and their family members in case of accidental death or disability. The scheme aims to offer a safety net to the farming community.,दुर्घटनावश मृत्यु या विकलांगता की स्थिति में किसानों और उनके परिवार के सदस्यों को वित्तीय सहायता प्रदान करता है। यह योजना कृषक समुदाय को सुरक्षा कवच प्रदान करने का लक्ष्य रखती है।,Aadhaar Card|Land records|Bank account details|Death or disability certificate,https://www.myscheme.gov.in/schemes/kdky
47,Agricultural Mechanization Subsidy Scheme,कृषि यंत्रीकरण सब्सिडी योजना,State (Uttar Pradesh),2024,Up to 80% subsidy on agricultural equipment,कृषि उपकरणों पर 80% तक की सब्सिडी,All farmers in Uttar Pradesh,उत्तर प्रदेश के सभी किसान,"To promote modern agricultural practices, this scheme offers up to 80% subsidy on equipment like tractors, threshers, rotavators, and more. It aims to enhance productivity and reduce manual labor.","आधुनिक कृषि पद्धतियों को बढ़ावा देने के लिए, यह योजना ट्रैक्टर, थ्रेशर, रोटावेटर आदि जैसे उपकरणों पर 80% तक की सब्सिडी प्रदान करती है। इसका उद्देश्य उत्पादकता बढ़ाना और श्रम को कम करना है।",Aadhaar Card|Land records|Quotation of equipment|Bank account details,https://upagripardarshi.gov.in
48,Seed Production Parks Initiative,बीज उत्पादन पार्क पहल,State (Uttar Pradesh),2025,Access to high-quality seeds through dedicated parks,समर्पित पार्कों के माध्यम से उच्च गुणवत्ता वाले बीजों तक पहुंच,Farmers and seed producers in Uttar Pradesh,उत्तर प्रदेश के किसान और बीज उत्पादक,Aims to achieve self-sufficiency in seed production by establishing five dedicated seed production parks. This initiative will ensure the availability of high-yielding seed varieties to farmers.,पांच समर्पित बीज उत्पादन पार्कों की स्थापना करके बीज उत्पादन में आत्मनिर्भरता प्राप्त करने का लक्ष्य। यह पहल किसानों को उच्च उपज देने वाली बीज किस्मों की उपलब्धता सुनिश्चित करेगी।,Aadhaar Card|Land records|Seed producer registration (if applicable),https://upagripardarshi.gov.in
49,Horticulture Expansion Program,बागवानी विस्तार कार्यक्रम,State (Uttar Pradesh),2025,Subsidies and support for horticulture development,बागवानी विकास के लिए सब्सिडी और समर्थन,Farmers interested in horticulture in Uttar Pradesh,उत्तर प्रदेश में बागवानी में रुचि रखने वाले किसान,This program aims to increase the area dedicated to horticultural crops and boost processing from 6% to 20% by 2027. It includes subsidies for drip and sprinkler systems and the establishment of Centers of Excellence in each district.,यह कार्यक्रम 2027 तक बागवानी फसलों के लिए समर्पित क्षेत्र और प्रसंस्करण को 6% से बढ़ाकर 20% करने का लक्ष्य रखता है। इसमें ड्रिप और स्प्रिंकलर सिस्टम के लिए सब्सिडी और प्रत्येक जिले में उत्कृष्टता केंद्रों की स्थापना शामिल है।,Aadhaar Card|Land records|Bank account details,https://upagripardarshi.gov.in
50,Amrit Dhara Yojana,अमृत धारा योजना,State (Uttar Pradesh),2025,Easy loans up to ₹10 lakh for cattle owners,पशुपालकों के लिए ₹10 लाख तक के आसान ऋण,Farmers maintaining 2 to 10 cows in Uttar Pradesh,उत्तर प्रदेश में 2 से 10 गायों का पालन करने वाले किसान,"Under this scheme, farmers can secure loans up to ₹10 lakh, with loans up to ₹3 lakh provided without any guarantor. It encourages traditional farming methods and addresses the stray cattle issue.","इस योजना के तहत, किसान ₹10 लाख तक के ऋण प्राप्त कर सकते हैं, जिसमें ₹3 लाख तक के ऋण बिना किसी जमानत के प्रदान किए जाते हैं। यह पारंपरिक खेती के तरीकों को प्रोत्साहित करता है और आवारा पशुओं की समस्या को संबोधित करता है।",Aadhaar Card|Land records|Bank account details|Cattle ownership proof,https://upagripardarshi.gov.in
51,PM-KUSUM Yojana,प्रधानमंत्री कुसुम योजना,Central,2019,Subsidy up to 90% for solar pump installation,सौर पंप स्थापना के लिए 90% तक की सब्सिडी,All farmers in India,भारत के सभी किसान,"Aims to provide farmers with solar pumps to improve irrigation, foster the use of renewable energy, and reduce dependency on diesel. Farmers can also earn by selling surplus solar energy back to the grid.","किसानों को सिंचाई के लिए सौर पंप प्रदान करके, नवीकरणीय ऊर्जा के उपयोग को बढ़ावा देने और डीजल पर निर्भरता को कम करने का लक्ष्य। किसान अतिरिक्त सौर ऊर्जा को ग्रिड में बेचकर भी आय अर्जित कर सकते हैं।",Aadhaar Card|Land records|Bank account details,https://pmkusum.mnre.gov.in
52,Uttar Pradesh Agricultural Mechanization Subsidy Scheme,उत्तर प्रदेश कृषि यंत्रीकरण सब्सिडी योजना,State (Uttar Pradesh),2025,Up to 80% subsidy on agricultural equipment,कृषि उपकरणों पर 80% तक की सब्सिडी,All farmers in Uttar Pradesh,उत्तर प्रदेश के सभी किसान,"This scheme provides substantial subsidies to farmers for purchasing modern agricultural equipment such as tractors, threshers, rotavators, and more. The aim is to promote mechanization in agriculture, enhancing productivity and reducing manual labor.","यह योजना किसानों को ट्रैक्टर, थ्रेशर, रोटावेटर आदि जैसे आधुनिक कृषि उपकरण खरीदने के लिए महत्वपूर्ण सब्सिडी प्रदान करती है। इसका उद्देश्य कृषि में यंत्रीकरण को बढ़ावा देना है, जिससे उत्पादकता बढ़े और श्रम कम हो।",Aadhaar Card|Land records|Bank account details|Quotation of equipment,https://upagripardarshi.gov.in
53,Uttar Pradesh Horticulture Expansion Program,उत्तर प्रदेश बागवानी विस्तार कार्यक्रम,State (Uttar Pradesh),2025,Subsidies and support for horticulture development,बागवानी विकास के लिए सब्सिडी और समर्थन,Farmers interested in horticulture in Uttar Pradesh,उत्तर प्रदेश में बागवानी में रुचि रखने वाले किसान,This program aims to increase the area dedicated to horticultural crops and boost processing from 6% to 20% by 2027. It includes subsidies for drip and sprinkler systems and the establishment of Centers of Excellence in each district.,यह कार्यक्रम 2027 तक बागवानी फसलों के लिए समर्पित क्षेत्र और प्रसंस्करण को 6% से बढ़ाकर 20% करने का लक्ष्य रखता है। इसमें ड्रिप और स्प्रिंकलर सिस्टम के लिए सब्सिडी और प्रत्येक जिले में उत्कृष्टता केंद्रों की स्थापना शामिल है।,Aadhaar Card|Land records|Bank account details,https://upagripardarshi.gov.in
54,Kisan Credit Card (Punjab Implementation),किसान क्रेडिट कार्ड (पंजाब कार्यान्वयन),State (Punjab),2010,Easy access to low-interest credit up to ₹3 lakh,₹3 लाख तक की आसान और कम ब्याज दर वाली ऋण सुविधा,All landholding farmers with valid land and crop records,सभी भूमि स्वामी किसान जिनके पास वैध भूमि और फसल रिकॉर्ड हैं,"KCC scheme is implemented effectively in Punjab through cooperative and nationalized banks, offering flexible credit to meet cropping expenses.","यह योजना सहकारी और राष्ट्रीयकृत बैंकों के माध्यम से क्रियान्वित की जाती है, जिससे किसानों को लचीला कृषि ऋण मिलता है।",Aadhaar Card|Land documents|Bank passbook,https://pmkisan.gov.in
55,Organic Farming Promotion Scheme,जैविक खेती प्रोत्साहन योजना,State (Punjab),2017,Subsidy on organic inputs and certification assistance,जैविक इनपुट और प्रमाणीकरण पर सब्सिडी,Farmers practicing or shifting to organic farming,जैविक खेती करने वाले या इसमें बदलाव करने वाले किसान,"This scheme boosts organic agriculture by supporting the use of biofertilizers, composting, and eco-friendly pest control. Certification costs are partially covered.","यह योजना जैविक खाद, कंपोस्ट और जैविक कीट नियंत्रण का उपयोग कर जैविक खेती को बढ़ावा देती है। प्रमाणीकरण लागत का कुछ हिस्सा सरकार देती है।",Aadhaar Card|Land records|Organic certification application,https://agripunjab.gov.in
56,Punjab Beej Bhandar Yojana,पंजाब बीज भंडार योजना,State (Punjab),2015,Subsidized certified seed supply to farmers,किसानों को प्रमाणित बीजों की सब्सिडी पर आपूर्ति,Small and marginal farmers of Punjab,पंजाब के छोटे और सीमांत किसान,Ensures availability of quality seeds through state-supported seed banks. Helps increase productivity and reduce crop failure due to poor seed quality.,राज्य समर्थित बीज बैंकों के माध्यम से गुणवत्ता वाले बीजों की उपलब्धता सुनिश्चित करता है। इससे उत्पादकता बढ़ती है और फसल विफलता की संभावना घटती है।,Aadhaar Card|Land records|Farmer registration,https://punjabseeds.gov.in
57,Soil Health Card Scheme (Punjab),मृदा स्वास्थ्य कार्ड योजना (पंजाब),State (Punjab),2015,Free soil testing and advisory reports for nutrient application,पोषक तत्वों के उपयोग के लिए नि:शुल्क मृदा परीक्षण और सलाहकार रिपोर्ट,All farmers of Punjab,पंजाब के सभी किसान,Promotes balanced use of fertilizers by providing lab-tested nutrient profiles of individual plots. It helps in reducing input costs and improving yields.,खाद का संतुलित उपयोग सुनिश्चित करता है और भूमि की पोषक तत्व प्रोफ़ाइल प्रदान करता है। इससे लागत घटती है और उपज बढ़ती है।,Aadhaar Card|Land ownership proof|Farmer ID,https://soilhealth.punjab.gov.in
58,Farm Machinery Banks Scheme,फार्म मशीनरी बैंक योजना,State (Punjab),2020,Shared access to agricultural machinery through cooperative centers,सहकारी केंद्रों के माध्यम से कृषि मशीनरी की साझा सुविधा,Farmer groups and cooperatives,किसान समूह और सहकारी संस्थाएं,"Encourages formation of machinery banks to reduce the cost burden on small farmers. Enables access to tractors, harvesters, and sowing tools at nominal charges.","छोटे किसानों की लागत कम करने के लिए मशीनरी बैंक बनाकर साझा मशीनरी उपलब्ध कराता है। इसमें ट्रैक्टर, हार्वेस्टर और बुआई उपकरण शामिल हैं।",Group registration certificate|Bank account details|Land record of members,https://agrimachinerypb.gov.in
59,Chief Minister's Punjab Kisan Card,मुख्यमंत्री पंजाब किसान कार्ड,State (Punjab),2024,Timely and adequate credit support to small farmers,छोटे किसानों को समय पर और पर्याप्त ऋण सहायता,Small and marginal farmers with landholding up to 12.5 acres,12.5 एकड़ तक की भूमि वाले छोटे और सीमांत किसान,"The scheme aims to provide flexible and affordable credit to small and marginal farmers, ensuring they can meet their agricultural requirements without financial difficulties.","यह योजना छोटे और सीमांत किसानों को लचीला और सुलभ ऋण प्रदान करने का लक्ष्य रखती है, ताकि वे बिना वित्तीय कठिनाइयों के अपनी कृषि आवश्यकताओं को पूरा कर सकें।",Aadhaar Card|Land ownership documents|Bank account details,https://agripunjab.punjab.gov.pk/ongoing_projects
60,Micro-Irrigation Scheme,सूक्ष्म सिंचाई योजना,State (Punjab),2024,Up to 80% subsidy on micro-irrigation systems,सूक्ष्म सिंचाई प्रणालियों पर 80% तक की सब्सिडी,All farmers in Punjab,पंजाब के सभी किसान,"Promotes efficient water usage through drip and sprinkler irrigation systems, enhancing water conservation and crop productivity.",ड्रिप और स्प्रिंकलर सिंचाई प्रणालियों के माध्यम से जल संरक्षण और फसल उत्पादकता को बढ़ावा देता है।,Aadhaar Card|Land records|Bank account details,https://www.tupkasinchayee.punjab.gov.in/home
61,PM Formalisation of Micro Food Processing Enterprises (PMFME) Scheme,प्रधानमंत्री सूक्ष्म खाद्य प्रसंस्करण उद्यम योजना,Central (Implemented in Punjab),2020,35% credit-linked subsidy up to ₹10 lakh for micro food processing units,सूक्ष्म खाद्य प्रसंस्करण इकाइयों के लिए ₹10 लाख तक की 35% क्रेडिट-लिंक्ड सब्सिडी,"Individual entrepreneurs, SHGs, FPOs, cooperatives","व्यक्तिगत उद्यमी, स्वयं सहायता समूह, एफपीओ, सहकारी समितियाँ","Supports micro food processing units with financial assistance, training, and branding support to enhance competitiveness and market reach.","सूक्ष्म खाद्य प्रसंस्करण इकाइयों को वित्तीय सहायता, प्रशिक्षण और ब्रांडिंग समर्थन प्रदान करता है ताकि प्रतिस्पर्धा और बाजार पहुंच बढ़ाई जा सके।",Aadhaar Card|Business registration documents|Bank account details,https://pmfme.punjabagro.gov.in/
62,Bhaav Antar Bhugtan Yojna,भाव अंतर भुगतान योजना,State (Punjab),2023,Compensation to horticulture producers for price fluctuations,बागवानी उत्पादकों को मूल्य उतार-चढ़ाव के लिए मुआवजा,Horticulture producers in Punjab,पंजाब के बागवानी उत्पादक,"Provides financial support to horticulture producers when market prices fall below a certain threshold, ensuring income stability.","जब बाजार मूल्य एक निश्चित सीमा से नीचे गिरते हैं, तो बागवानी उत्पादकों को वित्तीय सहायता प्रदान करता है, जिससे आय स्थिरता सुनिश्चित होती है।",Aadhaar Card|Land records|Crop sale receipts,https://agripunjab.gov.in
63,Punjab Horticulture Advancement and Sustainable Entrepreneurship (PHASE),पंजाब बागवानी उन्नति और सतत उद्यमिता (PHASE),State (Punjab),2024,Support for developing horticulture crop clusters and improving product quality,बागवानी फसल क्लस्टर विकसित करने और उत्पाद गुणवत्ता सुधारने के लिए समर्थन,Horticulture farmers and entrepreneurs in Punjab,पंजाब के बागवानी किसान और उद्यमी,"Aims to enhance horticulture practices by establishing crop clusters, providing technical support, and promoting sustainable entrepreneurship.","फसल क्लस्टर स्थापित करके, तकनीकी समर्थन प्रदान करके और सतत उद्यमिता को बढ़ावा देकर बागवानी प्रथाओं को बढ़ाने का लक्ष्य।",Aadhaar Card|Land records|Business plan,https://horticulture.punjab.gov.in
64,National Oilseed Enhancement Program (NOEP),राष्ट्रीय तिलहन संवर्धन कार्यक्रम,Central (Implemented in Punjab),2019,Subsidy on oilseed implements and seeds,तिलहन उपकरणों और बीजों पर सब्सिडी,Farmers cultivating oilseed crops in Punjab,पंजाब में तिलहन फसलें उगाने वाले किसान,"Promotes oilseed cultivation by providing subsidies on implements and seeds, aiming to increase production and profitability.","उपकरणों और बीजों पर सब्सिडी प्रदान करके तिलहन खेती को बढ़ावा देता है, जिससे उत्पादन और लाभप्रदता बढ़े।",Aadhaar Card|Land records|Seed purchase receipts,https://punjabagriculture.link/projects.html
65,National Program for Enhancing Profitability through Increasing Productivity of Sugarcane,गन्ने की उत्पादकता बढ़ाकर लाभप्रदता बढ़ाने के लिए राष्ट्रीय कार्यक्रम,Central (Implemented in Punjab),2019,Subsidy on sugarcane implements and inputs,गन्ना उपकरणों और इनपुट्स पर सब्सिडी,Sugarcane farmers in Punjab,पंजाब के गन्ना किसान,"Aims to enhance sugarcane productivity and profitability by providing subsidies on implements and inputs, along with training and support.","उपकरणों और इनपुट्स पर सब्सिडी, प्रशिक्षण और समर्थन प्रदान करके गन्ने की उत्पादकता और लाभप्रदता बढ़ाने का लक्ष्य।",Aadhaar Card|Land records|Input purchase receipts,https://punjabagriculture.link/projects.html
66,Operation Greens,ऑपरेशन ग्रीन्स,Central (Implemented in Punjab),2018,Price stabilization for perishable commodities,नाशवान वस्तुओं के लिए मूल्य स्थिरीकरण,"Farmer Producer Organizations (FPOs), cooperatives, and agri-logistics providers","किसान उत्पादक संगठन (एफपीओ), सहकारी समितियाँ और कृषि-लॉजिस्टिक्स प्रदाता","Aims to stabilize the supply and prices of TOP (Tomato, Onion, Potato) crops and reduce post-harvest losses through subsidies and support.","टॉप (टमाटर, प्याज, आलू) फसलों की आपूर्ति और कीमतों को स्थिर करने और कटाई के बाद के नुकसान को कम करने के लिए सब्सिडी और समर्थन प्रदान करता है।",Organization registration documents|Project proposal|Bank account details,https://en.wikipedia.org/wiki/Punjab_Agri_Export_Corporation
67,Punjab Organic Farming Scheme,पंजाब जैविक खेती योजना,State (Punjab),2023,Subsidy and technical support for organic farming practices,जैविक खेती प्रथाओं के लिए सब्सिडी और तकनीकी सहायता,Farmers adopting organic farming methods,जैविक खेती विधियां अपनाने वाले किसान,"Encourages farmers to switch to organic farming by providing subsidies on inputs and training on sustainable practices, improving soil health and market access.","किसानों को इनपुट्स पर सब्सिडी और सतत प्रथाओं पर प्रशिक्षण देकर जैविक खेती की ओर प्रोत्साहित करता है, जिससे मिट्टी की गुणवत्ता और बाजार पहुंच में सुधार होता है।",Aadhaar Card|Land records|Certification for organic inputs purchase,https://organic.punjab.gov.in
68,Punjab Farm Mechanization Scheme,पंजाब कृषि यंत्रीकरण योजना,State (Punjab),2024,"Subsidy on purchase of tractors, harvesters, and other farm machinery","ट्रैक्टर, हार्वेस्टर और अन्य कृषि मशीनरी पर सब्सिडी",All farmers in Punjab,पंजाब के सभी किसान,"Promotes modernization of agriculture by making farm machinery affordable, increasing productivity and reducing labor costs.",कृषि को आधुनिक बनाने के लिए कृषि मशीनरी सस्ती उपलब्ध कराकर उत्पादकता बढ़ाता है और मजदूरी खर्च कम करता है।,Aadhaar Card|Land ownership proof|Income certificate,https://farmmechanization.punjab.gov.in
69,Punjab Fertilizer Subsidy Scheme,पंजाब उर्वरक सब्सिडी योजना,State (Punjab),2023,Subsidy on fertilizers to reduce input cost for farmers,किसानों के लिए इनपुट लागत कम करने हेतु उर्वरकों पर सब्सिडी,Registered farmers in Punjab,पंजीकृत किसान,Provides subsidies on fertilizers to promote balanced nutrient application and enhance crop yield and soil fertility.,संतुलित पोषण के लिए उर्वरकों पर सब्सिडी देकर फसल उत्पादन और मिट्टी की उर्वरता बढ़ाता है।,Aadhaar Card|Land records|Purchase receipts,https://fertilizer.punjab.gov.in
70,Punjab Agriculture Marketing Reform Scheme,पंजाब कृषि विपणन सुधार योजना,State (Punjab),2022,Better market access and price realization for farmers,किसानों के लिए बेहतर बाजार पहुंच और मूल्य प्राप्ति,All farmers and farmer organizations,सभी किसान और किसान संगठन,"Focuses on improving market infrastructure, removing middlemen, and facilitating direct farmer-to-buyer sales.","बाजार आधारभूत संरचना सुधारने, दलालों को हटाने और किसान से खरीदार तक सीधे बिक्री को प्रोत्साहित करने पर केंद्रित।",Aadhaar Card|Land ownership documents|Business registration (for organizations),https://agriculturemarketing.punjab.gov.in
71,Punjab Soil Health Card Scheme,पंजाब मृदा स्वास्थ्य कार्ड योजना,State (Punjab),2018,Free soil testing and recommendations for balanced fertilizer use,मुफ्त मृदा परीक्षण और संतुलित उर्वरक उपयोग के लिए सिफारिशें,All farmers in Punjab,पंजाब के सभी किसान,"Provides soil health cards to farmers based on soil testing, helping them apply appropriate nutrients to improve crop yield.","मृदा परीक्षण के आधार पर मृदा स्वास्थ्य कार्ड प्रदान करता है, जिससे किसान उचित पोषक तत्व उपयोग कर फसल उत्पादन बढ़ा सकें।",Aadhaar Card|Land details|Soil sample submission receipt,https://soilhealthcard.punjab.gov.in
72,Punjab Agricultural Credit Card Scheme,पंजाब कृषि क्रेडिट कार्ड योजना,State (Punjab),2023,Easy and quick access to short-term crop loans,अल्पकालिक फसल ऋणों तक आसान और त्वरित पहुँच,All eligible farmers with land documents,भूमि दस्तावेज़ वाले सभी पात्र किसान,"Facilitates timely credit availability to farmers for purchasing inputs like seeds, fertilizers, and pesticides.","बीज, उर्वरक और कीटनाशकों जैसे इनपुट्स खरीदने के लिए किसानों को समय पर ऋण उपलब्ध कराता है।",Aadhaar Card|Land ownership proof|Income certificate,https://agriculturecredit.punjab.gov.in
73,Punjab Kisan Pension Scheme,पंजाब किसान पेंशन योजना,State (Punjab),2024,Monthly pension for small and marginal farmers above 60 years,60 वर्ष से ऊपर छोटे और सीमांत किसानों के लिए मासिक पेंशन,Farmers aged above 60 with landholding under 12.5 acres,60 वर्ष से ऊपर 12.5 एकड़ तक भूमि वाले किसान,Provides social security to elderly farmers ensuring a regular pension to support their livelihood post-retirement.,"वृद्ध किसानों को सामाजिक सुरक्षा प्रदान करता है, जिससे सेवानिवृत्ति के बाद उनकी आजीविका में सहायता मिलती है।",Aadhaar Card|Age proof|Land ownership documents,https://punjab.gov.in/kisan-pension
74,Punjab Crop Diversification Scheme,पंजाब फसल विविधीकरण योजना,State (Punjab),2022,Incentives for farmers to grow alternative crops to reduce water usage,पानी की खपत कम करने के लिए वैकल्पिक फसलें उगाने वाले किसानों को प्रोत्साहन,Farmers willing to adopt crop diversification,फसल विविधीकरण अपनाने वाले किसान,Encourages farmers to reduce paddy cultivation and grow less water-intensive crops like maize and pulses.,"किसानों को धान की खेती कम करने और मक्का, दाल जैसी कम पानी वाली फसलें उगाने के लिए प्रोत्साहित करता है।",Aadhaar Card|Land records|Crop pattern details,https://punjabagriculture.gov.in
75,Punjab Farm Women Empowerment Scheme,पंजाब कृषि महिला सशक्तिकरण योजना,State (Punjab),2023,Financial assistance and training for women farmers,महिला किसानों के लिए वित्तीय सहायता और प्रशिक्षण,Women farmers in Punjab,पंजाब की महिला किसान,Supports women in agriculture with skill development programs and subsidies to promote gender equality and economic empowerment.,किसानों में महिलाओं को कौशल विकास कार्यक्रम और सब्सिडी के माध्यम से आर्थिक सशक्तिकरण और लैंगिक समानता को बढ़ावा देता है।,Aadhaar Card|Proof of farming activity|Residence proof,https://punjab.gov.in/women-farmers
76,Punjab Agro-Processing Support Scheme,पंजाब कृषि प्रसंस्करण सहायता योजना,State (Punjab),2024,Subsidy and technical support for agro-processing units,कृषि प्रसंस्करण इकाइयों के लिए सब्सिडी और तकनीकी सहायता,Entrepreneurs and farmer groups setting up agro-processing units,कृषि प्रसंस्करण इकाइयां स्थापित करने वाले उद्यमी और किसान समूह,"Encourages value addition by providing financial and technical assistance to set up agro-processing units, boosting farmer income.","मूल्य संवर्धन को बढ़ावा देने के लिए वित्तीय और तकनीकी सहायता प्रदान करता है, जिससे किसान की आय बढ़ती है।",Aadhaar Card|Business registration|Project proposal,https://punjab.gov.in/agro-processing
77,Chhattisgarh Crop Insurance Scheme,छत्तीसगढ़ फसल बीमा योजना,State (Chhattisgarh),2016,Financial protection against crop loss from natural disasters,प्राकृतिक आपदाओं से फसल नुकसान के खिलाफ वित्तीय सुरक्षा,All farmers growing insured crops in Chhattisgarh,छत्तीसगढ़ में बीमित फसलें उगाने वाले सभी किसान,"This scheme offers financial assistance to farmers suffering crop losses due to drought, flood, hailstorms, pests, and diseases. It ensures that farmers can recover and sustain their livelihood after unexpected natural calamities. Timely compensation is provided to reduce economic distress.","यह योजना सूखा, बाढ़, ओलावृष्टि, कीट और रोगों के कारण फसल नुकसान से पीड़ित किसानों को वित्तीय सहायता प्रदान करती है। यह सुनिश्चित करती है कि किसान अप्रत्याशित प्राकृतिक आपदाओं के बाद अपनी आजीविका जारी रख सकें। आर्थिक संकट कम करने के लिए समय पर मुआवजा दिया जाता है।",Aadhaar Card|Crop details|Land ownership documents,https://cgcropinsurance.cg.gov.in
78,Chhattisgarh Organic Farming Promotion Scheme,छत्तीसगढ़ जैविक खेती प्रचार योजना,State (Chhattisgarh),2018,Subsidy on organic inputs and training support,जैविक इनपुट्स पर सब्सिडी और प्रशिक्षण सहायता,Farmers adopting organic farming methods in Chhattisgarh,छत्तीसगढ़ में जैविक खेती अपनाने वाले किसान,"This scheme encourages farmers to switch to organic farming by providing subsidies on bio-fertilizers, organic manure, and natural pesticides. Alongside financial support, it offers training to promote sustainable agriculture, improve soil health, and reduce chemical dependency.","यह योजना किसानों को जैविक खेती अपनाने के लिए जैव उर्वरक, जैविक खाद, और प्राकृतिक कीटनाशकों पर सब्सिडी प्रदान करके प्रोत्साहित करती है। वित्तीय सहायता के साथ-साथ, यह सतत कृषि को बढ़ावा देने, मिट्टी की गुणवत्ता सुधारने और रासायनिक निर्भरता कम करने के लिए प्रशिक्षण भी प्रदान करती है।",Aadhaar Card|Land documents|Proof of organic input purchase,https://cgorganicfarming.cg.gov.in
79,Chhattisgarh Farm Mechanization Subsidy Scheme,छत्तीसगढ़ कृषि यंत्रीकरण सब्सिडी योजना,State (Chhattisgarh),2019,"Subsidy on tractors, harvesters, and other farm machinery","ट्रैक्टर, हार्वेस्टर और अन्य कृषि मशीनरी पर सब्सिडी",All farmers registered in Chhattisgarh,छत्तीसगढ़ के सभी पंजीकृत किसान,"This scheme helps farmers modernize agriculture by providing subsidies for purchasing tractors, combine harvesters, and other mechanized tools. The goal is to increase productivity, reduce labor cost, and promote efficient farming techniques across the state.","यह योजना किसानों को ट्रैक्टर, हार्वेस्टर और अन्य यंत्र खरीदने पर सब्सिडी प्रदान करके कृषि को आधुनिक बनाने में मदद करती है। इसका उद्देश्य उत्पादकता बढ़ाना, श्रम लागत कम करना और पूरे राज्य में प्रभावी खेती तकनीकों को बढ़ावा देना है।",Aadhaar Card|Land ownership proof|Income certificate,https://cgfarmmechanization.cg.gov.in
80,Chhattisgarh Soil Health Card Scheme,छत्तीसगढ़ मृदा स्वास्थ्य कार्ड योजना,State (Chhattisgarh),2017,Free soil testing and fertilizer recommendation,मुफ्त मृदा परीक्षण और उर्वरक सुझाव,All farmers in Chhattisgarh,छत्तीसगढ़ के सभी किसान,"This scheme provides farmers with free soil testing services and issues soil health cards containing detailed nutrient status and fertilizer recommendations. This helps optimize fertilizer usage, improve crop yields, and maintain soil fertility sustainably.","यह योजना किसानों को मुफ्त मृदा परीक्षण सेवा प्रदान करती है और मृदा स्वास्थ्य कार्ड जारी करती है, जिसमें पोषक तत्वों की स्थिति और उर्वरक सुझाव होते हैं। इससे उर्वरक उपयोग का अनुकूलन, फसल उत्पादन में सुधार और मिट्टी की उर्वरता बनाए रखने में मदद मिलती है।",Aadhaar Card|Land details|Soil sample receipt,https://cgsoilhealth.cg.gov.in
81,Chhattisgarh Agriculture Credit Card Scheme,छत्तीसगढ़ कृषि क्रेडिट कार्ड योजना,State (Chhattisgarh),2020,Quick access to short-term crop loans with minimal documentation,अल्पकालिक फसल ऋणों तक त्वरित पहुँच न्यूनतम दस्तावेज़ों के साथ,Farmers with registered landholding in Chhattisgarh,छत्तीसगढ़ में पंजीकृत भूमि वाले किसान,"This scheme facilitates farmers to avail easy and quick crop loans for buying inputs like seeds, fertilizers, and pesticides. It aims to reduce financial stress by ensuring timely credit availability for crop production.","यह योजना किसानों को बीज, उर्वरक और कीटनाशकों जैसे इनपुट्स खरीदने के लिए आसान और त्वरित फसल ऋण लेने में सहायता करती है। इसका उद्देश्य फसल उत्पादन के लिए समय पर ऋण उपलब्धता सुनिश्चित कर आर्थिक दबाव कम करना है।",Aadhaar Card|Land ownership proof|Income certificate,https://cgagriculturecredit.cg.gov.in
82,Chhattisgarh Irrigation Development Scheme,छत्तीसगढ़ सिंचाई विकास योजना,State (Chhattisgarh),2018,Subsidy on installation of micro-irrigation systems,सूक्ष्म सिंचाई प्रणालियों की स्थापना पर सब्सिडी,Farmers with irrigated land in Chhattisgarh,छत्तीसगढ़ में सिंचित भूमि वाले किसान,"This scheme promotes water-efficient irrigation by subsidizing drip and sprinkler irrigation systems. It helps farmers reduce water consumption, improve crop yields, and adopt sustainable water management practices.","यह योजना ड्रिप और स्प्रिंकलर सिंचाई प्रणालियों पर सब्सिडी देकर जल-कुशल सिंचाई को बढ़ावा देती है। इससे किसान जल उपयोग कम करते हैं, फसल उत्पादन बढ़ाते हैं और सतत जल प्रबंधन अपनाते हैं।",Aadhaar Card|Land ownership documents|Irrigation proof,https://cgirrigation.cg.gov.in
